FLIGHT_ID,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,AIRCRAFT_TYPE,CLASS
1033,0A875,13891,11292,2017,698,F
1034,0A875,14100,11292,2017,698,F
1035,0A875,14122,11292,2017,694,F
1036,0A875,15016,11292,2017,694,F
1037,0A875,15304,11292,2017,614,F
1038,6725,11292,10529,2017,612,F
1039,6725,11292,14570,2017,614,F
1040,6725,11292,14730,2017,614,F
1041,6725,11292,14869,2017,614,F
1042,6003,11292,13198,2017,677,F
1043,6299,10140,11413,2017,416,G
1044,6299,11711,11413,2017,416,G
1045,7041,11292,11193,2017,631,F
1046,7041,12094,11292,2017,631,F
1047,7041,14783,11292,2017,631,F
1048,6700,10372,14771,2017,631,F
1049,6700,10423,11292,2017,673,F
1050,6700,11447,11292,2017,629,F
1051,6700,12992,11292,2017,631,F
1052,6700,13029,11292,2017,673,F
1053,0A875,11292,10529,2017,698,F
1054,0A875,11292,13871,2017,694,F
1055,0A875,11292,14524,2017,698,F
1056,0A875,11292,14689,2017,698,F
1057,0A875,11292,14771,2017,627,F
1058,0A875,11697,11292,2017,694,F
1059,0A875,13487,11292,2017,694,F
1060,0A875,13495,11292,2017,698,F
1061,0A875,13871,11292,2017,694,F
1062,0A875,14057,11292,2017,694,F
1063,0A875,14524,11292,2017,698,F
1064,0A875,14683,11292,2017,634,F
1065,0A875,14689,11292,2017,698,F
1066,6725,11042,11292,2017,612,F
1067,6725,11292,11066,2017,614,F
1068,6725,11292,12953,2017,614,F
1069,6003,11292,11066,2017,677,F
1070,6460,10627,11292,2017,694,F
1071,6460,11292,10627,2017,694,F
1072,6200,10140,11413,2017,416,G
1073,6200,11109,13244,2017,622,G
1074,6200,11711,11413,2017,416,G
1075,6200,12094,11122,2017,416,G
1076,6200,13244,11109,2017,622,G
1077,6910,11292,14570,2017,691,G
1078,7041,11292,12094,2017,631,F
1079,7041,11292,13871,2017,631,F
1080,7041,11292,14457,2017,631,F
1081,6700,10140,11292,2017,629,F
1082,6700,10397,11292,2017,673,F
1083,6700,10800,11292,2017,673,F
1084,6700,11193,11292,2017,673,F
1085,6700,11292,10140,2017,629,F
1086,6700,11292,11298,2017,673,F
1087,6700,11292,11638,2017,673,F
1088,6700,11292,14107,2017,673,F
1089,6700,11775,11292,2017,673,F
1090,6700,13198,11292,2017,673,F
1091,6700,13264,11292,2017,629,F
1092,6700,14698,11292,2017,629,F
1093,6700,14771,10372,2017,631,F
1094,0A875,10713,11292,2017,634,F
1095,0A875,11292,10713,2017,634,F
1096,0A875,11292,12441,2017,698,F
1097,0A875,13851,11292,2017,694,F
1098,0A875,13851,11292,2017,698,F
1099,0A875,14100,11292,2017,634,F
1100,0A875,14107,11292,2017,614,F
1101,0A875,14771,11292,2017,627,F
1102,6725,10994,11292,2017,612,F
1103,6725,11292,10713,2017,614,F
1104,6725,11292,10994,2017,612,F
1105,6725,11433,11292,2017,614,F
1106,6725,14730,11292,2017,614,F
1107,6725,15376,11292,2017,614,F
1108,6003,11066,11292,2017,677,F
1109,6003,13158,11292,2017,677,F
1110,6904,11292,15412,2017,675,F
1111,6904,15412,11292,2017,675,F
1112,6085,12266,13502,2017,675,F
1113,6085,13502,12266,2017,675,F
1114,1260,11193,11292,2017,608,F
1115,1260,11292,11193,2017,608,F
1116,7041,11292,14783,2017,631,F
1117,7041,12278,11292,2017,631,F
1118,6700,10800,11292,2017,629,F
1119,6700,11292,14698,2017,629,F
1120,6700,12266,10372,2017,631,F
1121,6700,15370,11292,2017,629,F
1122,0A875,10713,11292,2017,614,F
1123,0A875,11292,10423,2017,634,F
1124,0A875,11292,10423,2017,694,F
1125,0A875,11292,11298,2017,614,F
1126,0A875,11292,11697,2017,634,F
1127,0A875,11292,12278,2017,694,F
1128,0A875,11292,12758,2017,622,F
1129,0A875,11292,13830,2017,622,F
1130,0A875,11292,15304,2017,614,F
1131,0A875,11697,11292,2017,634,F
1132,0A875,12278,11292,2017,694,F
1133,0A875,12441,11292,2017,698,F
1134,0A875,12758,11292,2017,622,F
1135,0A875,13830,11292,2017,622,F
1136,0A875,15370,11292,2017,698,F
1137,6725,10713,11292,2017,614,F
1138,6725,11292,12451,2017,612,F
1139,6725,12451,11292,2017,612,F
1140,6725,13891,11292,2017,614,F
1141,6725,14831,11292,2017,614,F
1142,6003,10423,11292,2017,677,F
1143,6003,11292,13158,2017,677,F
1144,6003,14730,11292,2017,677,F
1145,6003,15370,11292,2017,677,F
1146,6460,11292,11775,2017,694,F
1147,6460,11775,11292,2017,694,F
1148,6200,11122,12094,2017,416,G
1149,6085,11109,12266,2017,675,F
1150,1177,11292,10950,2017,479,F
1151,7041,11193,11292,2017,631,F
1152,6700,11292,13264,2017,673,F
1153,6700,14262,11292,2017,631,F
1154,0A875,10721,11292,2017,614,F
1155,0A875,11057,11292,2017,698,F
1156,0A875,11292,10397,2017,614,F
1157,0A875,11292,10713,2017,614,F
1158,0A875,11292,11057,2017,698,F
1159,0A875,11292,14771,2017,698,F
1160,0A875,11298,11292,2017,614,F
1161,0A875,13487,11292,2017,614,F
1162,0A875,14893,11292,2017,698,F
1163,6725,11259,11292,2017,614,F
1164,6725,14893,11292,2017,614,F
1165,6003,11292,13851,2017,677,F
1166,6460,11292,14869,2017,698,F
1167,6460,11292,15016,2017,698,F
1168,6460,12889,11109,2017,698,F
1169,6460,14869,11292,2017,698,F
1170,6460,15016,11292,2017,698,F
1171,6299,11413,10140,2017,416,G
